Colistin_0.8ugml,Gentamycin_0.8ugml,Gentamycin_4ugml,Gentamycin_8ugml,Imipenem_0.1ugml,LB_,LBBlood_5.,LBUrine_5.,ethanol_5.,pH_8,pH_9
3550,3860.5,4157,3973.5,2964,2842,2502.5,2962,2353,2465,2102.5
2675,3691,4199,4293,2345,2463,2747.5,2732.5,1875.5,2411,1933.5
1134,2494,2883,3359,2002.5,2143,1865,2441,1833,1596,1393.5
4237,3311.5,3385.5,2844,4060,3508.5,3622,2994,2881,3504,2141
1158,0,0,0,1735.5,4803,1400.5,4209,0,1289,2774.5
2779,2638.5,3767,2806.5,2839,3219.5,2548,2103,2488.5,2401,1757.5
2409.5,3764,4897,4284,1686,1997,1835,1936,1468,1678,1175
0,0,0,0,913,2771,1162.5,1604,2554,1233,1439.5
4559,4078,2204,1874,4296.5,3233,3550.5,3359,3480,2913,3404.5
4176.5,4433.5,4665,4381,3763,3362,3780,3260.5,2737,2763,2148
1870.5,2177,631,571,2257.5,2870.5,2102,2780,1756,2064,1088
3143,4069.5,2542.5,1211,2615.5,2793,2956,2659,2284,2351,1895.5
3110,2322,2797,0,3072,1841,2594,2018,1210,1489,1523
3540,3908.5,2424,883,2846,2846,2658.5,2735,2308.5,2199,2017
2581.5,3619,4011,4461,2491.5,2951,2887,2671,2122,3133,2025.5
4627.5,2868.5,2622,935,3367.5,3373,2458,2784,2309,2977,1300.5
3021,3719,2968,2219,2625,3322,1927.5,3103,1963,1977,2307
4124,4659,4079,4299,3069.5,2812,3441,2990.5,2387,2497,1922.5
3711.5,3632,3764.5,3876,3266.5,2782,2833.5,2717,2594,2221,2109
1802.5,2957.5,3213,3826.5,1878,2316,1880,2256,1632,1507,1293
4938,5263.5,5018,5001,2282.5,2880,3294,3024,2050,2246,2322
3618,3592.5,3670.5,3272,1934,2146,2460.5,2759,2455,2703,1635.5
2484,3211.5,4265,4358.5,1970,2215,1989,2236,1805,1989,1591
4028.5,3405,2053,2007,4036.5,3670,3177.5,3384,3247,3076,2799
4653,4913.5,4321,2820,4445,4016,4461,3895,3920,4371,3062
5265,5066.5,5908,5041,4752.5,3364,3998.5,2982,3400,3096,2316
3155.5,3658,4094.5,3828,2307,3203,2789.5,3255,1956,1705,1849
3203.5,3653,4346,4175,2281.5,3115,2887,2394.5,2030,2808,1883
2832,4118,3415,4453,2747,3238,3022,3325,2315,2317,1846.5
5857.5,5300.5,4427,2387,4727,2946,4202.5,2818,2282,2064,1752
2385.5,4304.5,6747,5882.5,2738,2978,1943.5,2407.5,1691,1824,1311
1457,2381,2712,2705,1736,2531,2086.5,2459,1381.5,1522,1487
3802.5,3094,0,1641,2352,4420,2675,3616,2033.5,2310,2147.5
2656.5,3501.5,3686,4127,2147.5,2509,2705,2650,1843,2487,1893
761,312.5,0,767,0,0,859.5,0,729,561,0
5050,5655.5,5600,5051,4477,3561.5,4136.5,3300,3126,2850,2519
2892.5,2170.5,1669,1497,3531.5,3486.5,4389,3642,4429,3104,2901
2972,3686,1043,670,2885.5,2966,2782,2803,2239.5,2417,1624.5
0,564,434.5,676,3828,4256,3109.5,4685,1872,3548,2413
4547.5,4890.5,5186,5101.5,4019.5,3631,3914,3318.5,2935,3346,2369
1377,2818,2680.5,3603,2004.5,2623,1942.5,2353,1874,1966,1472
3614.5,2809.5,3286,3867,3394,3407,3464,3150,3045,2497,2124
3293.5,2422.5,3964,1820,3113,2655,2744,3639,2023,2710,1774.5
3391.5,2363.5,4765,778.5,3428.5,3497.5,3370,3595,2465,3622,2016.5
1530,1748,762,452,2092,2596,2208,2592,814,1229,780
2914.5,4092,4279.5,4826,2876,3382,2627,3232,2041,2342,1845
1328,2364,2022,967,2136.5,2945,2116.5,2477,1636.5,2124,1361
2253,2416.5,547,617.5,3055,3700,2628.5,3811,3367,3096,2754.5
3118,2999.5,932,693,3274.5,2370,2912,2199,2176.5,2267,1842
5752,5324.5,3068,3192,4518,3640,5251.5,3347,3438,3686,2798
4727.5,5141,0,791,3103.5,2129.5,3113.5,2474,2448.5,2447,1350
5097,3510,981,1324,4267.5,3203.5,3765,3045,2808,2833,1918
3215.5,4089.5,5196.5,4498,2401,2675,2409.5,2536,2117.5,2378,1913.5
3109,3854,4680,5105,2907.5,3472,3046,2831,3307,2323,2831
2788.5,3527.5,3127,3240,2675,2592,2487,2729,2269,1891,1952.5
1953,2788,3631,3833,2010,2240.5,1966.5,2257,1854,1739,1641
2420,3694.5,1121,663,2328.5,2769,2223,2945,2185,2206,2229
1532,2358,1865,915,2152.5,2304,1749,1982,1621,1855,1094
4185,2947.5,654,700,3365,3847,3257,3701,2679,2964,1802.5
3266.5,3289.5,1418,1517,2520,2950,3065,2849,2370,2485,1938.5
5503.5,5198,959,1038,3514,3697,3164,3174,3468,2916,2488.5
3466,3517,0,3524,2480,2840,2330.5,2556,1735,2200,1782
1937.5,2158.5,2377,2290,1554,2003,1333,1967,1421,1281,1775
3607.5,3200,1371,940,3139.5,2988.5,3625,3303,2877,2285,2365
2745,2438,655,651,2354,2857,2713,2856,2334,2000,1518.5
907,1927.5,763,1015.5,859,1719,1131,2099,1192,1233,1034
7412,5672.5,2745,2742,7531,6932,5289.5,6620,7703.5,5472,5307.5
4341,4244,894,907,4592.5,4147,4502,4105,3119,3482,2564.5
1284,1764.5,0,0,3075,2382,2063,2883,2619,1914,1540.5
2758.5,2701.5,732,583,3383,2666,2637,2428.5,2579,2870,2346.5
3674,3440,1744,2006,3461,3231,3150.5,3383,3013,2744,2582.5
3621.5,1845,0,0,5099,3851,1566,3493,3222,3320,2508
2444,3399,3682,3966,2514.5,2527,2423.5,2431,1793,2100,1363.5
2270.5,3038,837,621,2975.5,3254,2712,3275,2822.5,2660,2467
2279,2841,916,910,2779,2974,2467,2927.5,2224.5,2241,2101.5
4019.5,3734,823,1279,3081,3338.5,2764,3133,1887,2346,1581
738,1123.5,0,0,2309,2855,3312,2438,3579,2441,1940
4319,4635,3971,3114,3788,2931,2570.5,2999,2752,2878,2395
3195,3002.5,0,2008,2624.5,2547,2147,2314,2032.5,1882,2224
3442,1562.5,697,437,2205,2736,2977,2236,1944,3221,1834
1034,2128,1088,1504,686,2181,1421,1644,1379,798,1158
4098,1323,0,0,3628,4106,3236,3649.5,2875,3210,3227.5
5052,4365.5,2262,2132,4659.5,3493,3807,3248,3506,3279,2493
3688,842,1686,327,3834,3401,4026,4309,3574,2891,3395
4318,3625,1678,2099,3965.5,3146,3717.5,2983,3235.5,2886,2065
2951,2932.5,3311.5,3169.5,2419,2864,2755.5,2727,2389,2110,1674.5
4761,4485.5,3972,4008,4580.5,3155.5,3293,3311,2939,2508,2503.5
5096,5077,4463.5,4311,3476,2924.5,4081,3234,2700,3189,2719
1855.5,1711,0,0,1854,2788,1974,2856,1970,2082,1863
0,0,0,0,0,1473,387,2399.5,0,755,935.5
0,0,0,0,0,1516,1005,4303,655,545,293
3138.5,3884,1809,673,2692,3020,2810,3262,2539,2653,2275.5
1926.5,1815,2690,2187,1931.5,1897,2308.5,1780,1451,1720,1501
2785,1406.5,2873,946,3043,2703,2977.5,2996,3234.5,2859,1152
2558.5,3071.5,825,787,3130,3405,2796.5,2880,2433,3030,2187
4173,3277.5,1386.5,1222,3346,3096,2866,3061,2419.5,2332,1954.5
2889.5,3327.5,792.5,614,3006,3240.5,2609.5,3216,2358,2256,1637
6003,6356.5,1801.5,1061,4700,4059.5,5059,4135,3301,4042,2964.5
814,286.5,0,0,984,1964,1152,2165,964.5,883,1274.5
4103,3364.5,982,1097.5,4373,3213,3888,3434,3768,3864,2518
0,351,0,0,1769.5,3570,2135.5,2526,1347,3135,884.5
1542.5,1858.5,0,975,1263,1997,2049,2171,612,2432,1000.5
0,1442,1384,0,3535.5,2355,2747.5,2561,1972,1540,2633
3331,3540,3636,3877,2845,2937,3139,3105,2532,2754,2031
5294,4336.5,1677,1177,4826,3420,4984,3025,3161.5,3156,2859
2895,5304,4740,4620,3997,3520,4038,3353,2784.5,2678,2951.5
3015.5,3192.5,946,648,2445.5,2724,2832,2713,2271,2026,1854
5663.5,6239,1818,1179,4679.5,3769,4087,3053,3007,3133,2122.5
1527.5,2613,2922,3093,1372.5,2017,1557.5,1561,1378,1439,1112
4850.5,4904,1774,969,3896,2678,3214.5,2662.5,2457,2392,1785.5
1893,2631.5,2704,3293,1955,2508,1915,2408,1750,1969,1546
2616.5,3418.5,4587,4268,2279.5,2328,1901.5,2051,1601,1836,1468.5
2325.5,3330.5,5015,4246.5,2189,2217,1821.5,1914,1596,1874,1378.5
1985,4062.5,5093,4551,2602,2656,1961.5,2290,1797,2108,1661
4138.5,2459,2140,0,3081,1855,3579,3242,2896,739,2740.5
4570.5,4397,1778,797,4441.5,3197,3158,3204.5,2784,2359,2384.5
1717.5,2908,3847,4223,1802,2109,1366,2051.5,1148,1084,910.5
3327,2654,2939.5,1024,4047,3912,3009,3933,3376,4063,3089
3709.5,3765,4044,4168,3722.5,3032,3474,2859,2625,2679,2317
0,895,0,0,1760.5,2328,1134,3784,630.5,1364,627
1128,1277.5,0,467,893.5,1127,1249,1078,720,1170,480
4528.5,4027,1350,1476,4098,3546.5,3562.5,3250,3037,2791,2283
4289,4981.5,5676,5471,3670.5,3292.5,3411,3413,2842,2946,2459
4518.5,4820.5,5532,5321,4054,3366.5,3897,3342.5,2974.5,3055,2503
4851,4163,1301,923,4190.5,3373,4079.5,3540,3649,3034,2561
2109,3541.5,3286,3954,2286.5,2827.5,2408,2820,1925,2139,1741
3231,3130,3175,3148,2684,2908,2893,2740,2219,2143,2107.5
5702,4741,1517.5,1287,5385.5,4560,4853,4097,4585,3586,3116
4461,4029,831.5,988,3495,2979,3349,3407,2326,2457,1482
4215.5,4010.5,3929,4005,3479.5,3078,3183,3037,2871,2417,2324.5
3131,1357,2389,2022,5238.5,4147,4037,3450,4165,5018,3274.5
4038.5,3981.5,4352.5,3534.5,3763.5,2669,2764.5,2707.5,2801,2436,2037
3189.5,4849.5,5690,5601,3110.5,2939,2412.5,2574,2550,2473,1835.5
3044,3358,2945,2293,2832,2503,1841.5,2168,2529,2090,1585
5428,5374,1864,1414.5,5304,4562,4667,4320,3924,3239,3470.5
2533,1106.5,0,1366,4902,3891,3099,3314,3799,4063,2840
3948.5,4485,4898,5205.5,2965,2988,2778.5,2870,1973,2227,1748
3749,3579,1599,1753,2912,3895,3111,4309,2762,2890,3002
8698,4275,2446,2132,8255,9574,8865,9285,8968,6974,6717.5
2420,2468.5,3029.5,2254,2515,2447,2117,1965,2080,1974,1703.5
0,1253,1109,1768,1199,4941.5,2444.5,5301,2982,3296,3251
3594,4445.5,2986.5,988.5,2565,2922,2784,2779,2225,2368,2050
1492.5,2915.5,3209.5,3884,1958.5,2390,1956,2556,1966,1973,1742.5
3349.5,2608.5,3924,1733,3502,3999,3548,4223,3965,2964,1982.5
1875.5,2284,1255,1663,1886,2431,2086,2236,1678,1798,1148.5
0,870.5,746,592,2247.5,2487,2462,2768,3032.5,3076,1322
2591.5,2342,801,740,4108.5,4184,3357.5,4486,4453,4123,2736
4063,4464.5,2792,2911.5,3191.5,3584,4392,3431,2383,3048,2661
2385.5,2579,2525,2565,2104,2448,2713,2860,1716.5,2456,1675
1725.5,2714.5,3437,3747.5,1802,2178,1994,2858.5,1771,1824,1584
2802,2885,1952,756,2284.5,2904,2436,2854,2205,2487,1993.5
4074.5,3802.5,1919,1650,4285,2238,3221,2254,2465,2175,1739
4304.5,4288.5,4673.5,4690.5,4141,2889,2778.5,2947,3005,2669,2300.5
4113,3579.5,1597,1548,3184,3410,3335.5,3279,2757,2834,2482.5
1802.5,2308.5,2012,2049,2228.5,2713,1572.5,2357.5,1915,1752,1506
3940.5,3944.5,4825,4461,3809,4041,4093,3962,3119,2910,3149
1673,2632.5,863,611.5,2073.5,2635.5,2804.5,2810,1930,2052,1709
4695,2854.5,1029,753,3812,2805,3988,3455,3492,3299,3130
1606.5,3187.5,3418,3906,2309,2832.5,2553.5,2727,2034,2402,1877.5
1524,2623,2999,3192,2191,3141,2444.5,2781,2252,2530,2506.5
5117,3742,2574,2459.5,4018,4185,3320.5,3267,3169,3259,2305
1389,2788.5,2797,3486,1877.5,2236,2312.5,2261,1627,2009,1540.5
121.5,1007,1925,2083,1617,4071,0,4635,5274,1217,1033.5
5421,4753,0,1732,4609,3583,4645,3549.5,3334,3368,3132
5234,4403.5,3115,0,4467.5,3706.5,3368.5,2943,3541,3429,2832
4392.5,4011.5,4348,0,4334,2892,3055,2686,3001.5,2615,1886
2067.5,3636,3721,3927,2617.5,2379,2011,2394.5,1859.5,1910,1610
3409,3437,904,682,2841,3080,2645,3483.5,2537,2112,2063
3046,4178,4825,4635,3154.5,2742.5,2754.5,2769,2222,2666,2052
3847,3262,1470.5,691.5,3497,3505,3494,3694,2859,3107,2374
2760,3086.5,866,845,2263,2788,2693.5,2726,2312,2413,1692
3686,3855,1645,1326,3349.5,3379.5,3354.5,3425,2982,3069,2534
1854,2412.5,804,1659,3219.5,2854,2924.5,2949,2357,2732,1862.5
2093,1630.5,731.5,556,2700,1730.5,2386.5,1598.5,1653.5,2243,1708
4754,4447,857,1036,4028,3518,3689.5,3451,3244,2568,2484.5
3602.5,4493.5,1147,1040,3575,3841,3618,3369,3249.5,2419,3032
3060,3528,4070,4076,1687,2794,2682.5,2639,1608.5,1637,2433
3640,3623.5,915,493,4385.5,3762,3679.5,2852.5,3503,3554,2724.5
5281.5,3912.5,0,2121,5201.5,4119,4238,3565,4077,4090,3877.5
620,3560.5,2004,2830,3869,3699,3166,4227,3376,3500,3118
2397.5,3185,3071,2925,2397,2977,2897.5,2688.5,2253.5,2767,2172.5
4461,4446,1287,1160,4177,4170,3847,4149,3519,3334,3345.5
2649,3420.5,1685,1512,1817.5,3224,1808.5,2550,1568.5,1491,1573.5
5452,4705,1769,2399,5268,3571,4434,3214,3958,3372,2712
4111,3902,1594.5,1656,4122,4495,3962.5,4302,3708,3281,2645.5
3568,3299.5,650,506,2942,3088,3827,2417,2826,2795,2333
2515,2352,4912,2691,2609.5,2093,2653,1800,1807,1805,1489.5
4538,5266,1494.5,724,3909,3548,4030.5,3560,3214,3531,2677
0,0,0,0,127,0,0,0,0,0,0
4289,3443,1062,1844,2933.5,2404,2348.5,2482,1789,2489,1329.5
3970,2748,772,733,2667.5,2386.5,2631.5,2125,2211,2428,1108
2503,3035,1434,1263,2337,2285.5,1833.5,1775,1796,1575,1442
2898.5,2468.5,633,459,1847,2387,1971,1839,1661,2008,1378
5206.5,5308,1482,1037.5,4234.5,3292,3592,3218,2984,2765,2298.5
0,0,0,0,707,531,234,937,207,262,384.5
4463,5089.5,5110,4975,5171.5,4035,5442,3991,3981,3691,2997
4341,3515,761,896,3704.5,3439.5,3439,2944.5,2603,2616,1952
2269,2483.5,2026,1658,2262.5,2698,1851.5,2426,1836,1578,1689.5
1308,1568,1876,1758.5,1690,1981,1147,1984,1048.5,1010,1253
5011,4325,1284,1056,3835.5,2973,2928.5,2633,2595,3082,1875.5
5556,4684,1904,1245,5122.5,3714.5,4596,3142,3969,3962,2920.5
3439,3650.5,4594,3624.5,3105.5,2925.5,3089,2864,2532,2512,2042.5
3107.5,3948.5,3962.5,3541,2381,2187,2384,2147,1816,1942,1155
5072.5,4507,1853,2284.5,5149.5,3540.5,4628,3322,3947,3679,2733
2464,4245,3299.5,4000,3287.5,2403,2743.5,2653,2309,2109,1452
5223.5,4499,1342,873,5529.5,3549,5115,3520,4371,3910,3426
3193.5,3468,3491,3700,2695,2899,3033.5,2919,2446,2390,2089.5
3361.5,2657.5,738,1136,3249,3110,2696,3287,2467,2212,1890
3779,3994.5,5779,5522,3320,3171,3796,3379,2758,2411,2178.5
2846,2980,1553.5,2332,2813.5,2948,2423.5,2867,2299,2040,1957.5
1935.5,2640.5,1501,1810,2337.5,2767,2310.5,2796,1674,1781,1527.5
6130,4796.5,4049,3028.5,4718,3585,4124.5,3311,3133,3028,2483.5
1817,1673.5,0,0,2778,2635,2080,2639,2314,2447,2248.5
3821,2960,0,2122,3807,2851,2998,2501.5,2524,2856,2162.5
4235.5,4259,4978,4583,3549,3139,3260,2958.5,2410,2783,2215.5
1909,2351,911,469.5,2292.5,2803,2630,2681,1954,2450,1869
2637.5,3482,1794,1183,2299.5,2734,2506,2393,1465,2288,1355
2561,2222,2661,2992,2509.5,2844,2556,2383,2184,2956,2046.5
1797.5,2344.5,637,680,2835,2508.5,2436,2600,1842,2268,1643
2475,2863,3163,3201.5,2134,2137,1895,2083,2060,1746,1947
3784.5,3575,3682,3306,2959,2170,1821,2638,2030,2055,1639
3305.5,3603,0,2814,3009,3285,3607,2969,3091,2625,2491
2767.5,3401,0,2528.5,2223.5,1876,1816,2028,2212,2051,1785
2848,2485.5,3673,2870.5,2821,2704,2394.5,1980.5,2296,1975,1624
3203,4599,4774,5014,2565.5,2792,2991.5,2947,2262,2580,2023
6620,4843,2579,2700.5,5980,5350,6334.5,4998,5383,4383,4146.5
3111,4273.5,4177,4457.5,2773,3085.5,3137.5,2934,2337,2361,2153
4493.5,0,0,404,3199,4083,3318,3959,1771,2510,3536.5
364,759.5,819,799,3360,3876,2551.5,3223,2740,3751,1266.5
2307,2930,2524,3155,2171,2002,2050.5,1631,1808,2357,1612
4433,4964,4550,4473,3976.5,3536.5,3819,3354,3200,2873,2722
4690.5,4588.5,3126,2697,4157,3171,3708.5,3324,3253,2467,2710
3804.5,3093.5,0,0,3676,4604,3505.5,3331,3576,3095,2634.5
1324,1267.5,1663,1913,1240.5,1931,1714.5,1542,1333,1376,1216
2863,1797.5,2779,611,3242,3908,2375,3056,2676,2928,2180.5
4459,3602.5,0,0,4012,2990,2908.5,2692,2689.5,2496,1586.5
1081.5,1124,0,0,4189,3343,3571.5,3262,3370,1660,3415
2242.5,1111.5,268,335,3967,3389.5,2588,2841,3116,2135,2273.5
4336.5,3917.5,4485,4423.5,3412.5,3027,2305.5,2615,2374,2321,2240
2145,2653,3004,3007,1963,2133,1814,1938,1790.5,1786,2358
3270,3466,822,611,4323,3237,3616,2740,2494,3298,1856.5
3951.5,3952,3342,3762.5,3968,3409,3827.5,2772.5,3407,3439,2174
3080.5,3459,3751,3621,2360,2927,2718.5,2706,2262,2319,1760
3797,4589,4359,3158,3598,3178,3274.5,3068,2563,2668,2180
2640,4027,0,616,1762,3939,2382,2179,1928,2216,1614
4200,4307,5027,4989.5,3809.5,3310.5,3650.5,3033,2941.5,2712,2691
3958.5,4430.5,5041.5,4669,3451,3260,3648.5,3122,2844,2764,2405
3891,3799,1273,626.5,4848,3687,3896,3328.5,4264,3901,3328.5
4819.5,4333,4034,2007.5,4812.5,3810,4521,3455,4030,3846,3123
5103.5,4625,6597,4716.5,4976,3298,4411.5,3044,3464,3572,2763.5
0,598,330,0,683,4362,2017.5,2559,2970,2088,1937
4760,4505,2652,1718,3993,3415.5,3457,3089,3111,2880,2103
4476.5,4574,2388.5,2246,3740,3830,3347.5,3464,3144,2742,2914.5
6090.5,5607.5,8185,6413,5850,5458,6023,5312,6039,4434,4839.5
4079,3489,3665,4101,2470,2765,2861,2726,1829,2258,2488
6333.5,6195.5,6763,6450,6188.5,5635,5201,5320,6021,4519,4678
1861,1385,1561,1665,1203.5,1630,1422,1285,1034,1207,1364
2028,3653.5,3660,4226,2166.5,2731,2613,2706,2136,2551,1905.5
4441.5,4012,4291.5,4465,3540,3166,3397,3012,2873,2545,2593
2161.5,2720.5,2779,1756.5,1965,2355,1620.5,1904.5,1475,1760,1977
5452,5537,5353,4817,3544.5,3165,3609.5,3244,2391,2831,2173
5991,5512,4986,5051,3753,3230,4078,3152,2543,2967,1873
4126,5576,6549,6841.5,4822,4186,4567.5,3830,5768,3774,3146
0,537.5,0,242,523,4485,505,3074,483,523,3705
2362,4239.5,4450,4612,1903,2079,2413.5,2296.5,1858,1904,1346
3813.5,4098,4516.5,4443,3196,3430,3438,3098.5,2729,2735,2394.5
4408.5,4198,4775,4458,4269,3167,3533,3274,3029,2813,2427
4035.5,4271,4958,4504,3766,3218,3303.5,3227,2783.5,2713,2317.5
2711.5,3978,1236,795,2852.5,2821.5,1789.5,2541,2125,2134,1951.5
6308.5,5691.5,7778,6330.5,6078,5313,5774.5,5193,5210,4077,3801
4403,3671,1372,550.5,5302,4289,4815,4037,4187,4344,3475
3999.5,4178,5151,4947,3764.5,3728,3458.5,3422,3077,2990,3180
2388,2640,1117,1131,1954,2192,2334,2073,2016,1787,1481
2092,3056.5,3803,3584,1677.5,2160,1472,1786,1609,1616,1320.5
2892,656,619.5,698,2291,3275.5,3615,3285,3031,2336,2294
3474,3641.5,3238,3704,3448.5,2421,3152,2176,1922,2458,1913
3536.5,4229,5565,4114,3590,3267,3345,3238,2896,2308,2465
3323,3272.5,3314,3438,3178,3003,3003.5,3262,2916,3289,1926.5
3572,4459,4816.5,4694.5,3145,3443,2987,3183.5,3215,1989,2177
4396,4423,4444,5157,5004,3271,3478.5,3120.5,3202.5,3008,2335
1967,2333,2657,2584.5,2401,2796.5,2018,2515.5,1927,2109,1478.5
4514,4603,3391.5,2113,3541,2655,2996,2820,2507,2343,2010
4099.5,5329.5,3833,2238,5531,3796,3972,3647,3631.5,3023,3076
2730.5,3818.5,3693,4177,2138,2170,1956,1974,1909,2109,1662
2536,3782,4107.5,4336.5,2405.5,2647,1846.5,2224,2094,2255,1731.5
1381.5,1894.5,2341,1894,1688,2095,1125,1934,1238,1250,1555.5
2872.5,4290,4802,4766,2878.5,3363,2977,3299.5,2747,2691,2507.5
5551.5,4426.5,2573.5,1968,5042,4073,4553.5,3835,4143,4182,3129
3781,1467,2203,1247,3144.5,3682,4326,3069.5,3860,4700,2615
2624.5,4144,4319,4397,2085.5,2382,2383,2372,1987,1995,1889.5
5482,4833.5,4291,5023,3874,2408,2677.5,2497,2462,2560,1104
4251,4521.5,4393,4128,3652.5,3254,3019,2715,2228,2553,1453
3948.5,3916,3957,4257,3358.5,2568.5,4258.5,2695,2999,3369,1964.5
2501,2810,3175,3440,2072,2428,2023,2558,1727,1821,527.5
3892,4002,4673.5,4482,3395,3186,3563,3222,2904.5,2621,2459.5
3302,3642,3840,4000,3058,3015,2955,3014,2838,2516,2232
4094.5,3281,4046,2613,4710,2535,3359.5,1561,2765.5,3593,1306.5
3375.5,1819.5,6578.5,0,2485.5,2982,1887,2932,2075,3152,1359.5
5266.5,5522,4626,1218,3239,3062,3807,2786,2491,2720,2149
2559.5,3293.5,4238,4600,2439,2680,2223.5,2600,2213,1866,1945
3741,4465,5788,4914.5,2794.5,3051,3003,3199.5,2040.5,2488,1913
3565,4180,4289,5182,3312,3032.5,3582.5,2807,3518,2444,1546.5
3130,3738,5350,4514,2874,3004,2460,2960,2479,2861,2149.5
2290,3099,2066,3391,2103.5,2478,2126.5,2516,1917,2095,1645
2949,3483,3956,3740,2175.5,2152,1639,2126,1917,1793,1590.5
3649.5,3873,3834,3691,3431,3188,3061.5,3267,2712,2175,2329.5
3426,3365,3523,3318,3453,3304,3275,3587,3078,2746,2462.5
3809,3585.5,3516,4003,3760.5,2910,3715.5,2273,2133.5,2681,1887
4786,4831.5,4819,5282,5139,3905,4737,3116,3482,3355,2038.5
2808,3465,3659,4037,2613,2970,2894,2921.5,2360,2179,2078
2962.5,4127,3646,3799,2519,2708,2581,2768,2410.5,2196,2010
3671.5,2840.5,4373,3350,3654,3467,3245,4490,3842,3482,2280.5
5015,5916.5,9254,6691,5754,6114,6337,6204.5,5760,4664,4362
662,0,779,1181,529,1432,1117.5,1409,849.5,785,1387
3034.5,3038.5,3114,3105,2384.5,2422,2550.5,2224,2243,1964,1712
3599,4829,3015,3023,2703,2423,2516.5,2050,1992,1518,933
3886,5271,4029,1296,3974,3460.5,3717,3674,2995.5,3163,2396
1999,3418,4279,4112,1964,2062,2143,2249,1719,1835,1608
3955.5,4063,4832,3724,3671.5,2758,2478,2783,2884,2534,2546
3592,5001,5221,5288.5,3165.5,3206,2428,2894,1834.5,1841,1586
2238.5,4072.5,4571,5547,2401.5,2196,1674.5,2279.5,1766,1282,1196.5
2200,3318.5,4484,4501,2584,2653.5,2074,2563,1968,2288,1839
4202,3645,2131,1737,3727.5,2517,2747,2284,2255,2319,1888
2419,3194.5,3688,3596.5,2221,2730,2065.5,2632,2033,2021,2331
2745,2016.5,0,910,2086,2186,2184,2119,1859,1794,1690.5
3620,5007.5,5348,4756.5,2474,2362,2715,2066,1857,1979,1327.5
4339.5,4551,5382,4584,1985,2867,2606,2158,1739,2237,1237
2441,836,1314,671,2509,2891,2935.5,2438,2972,2336,1753
3557.5,2728,3139,866,4343,4643,4159.5,4245,4810,5207,2967
4966,4917,4091,3875,3659,3356,3668.5,3374.5,3035,2770,2239
2637,3848,4778,4728,2236.5,2401,2339,2556,1923,2117,1938
2186.5,3363,4241,3932,2387,2890,930.5,1725.5,1256,1343,1201
2080.5,2995.5,3518,3943,2206.5,1841.5,1861,1708,1731,1332,1486
2311,3056.5,3099,2605,2206,2237,1989.5,2183,1733,1714,2804.5
6343.5,4671.5,3006.5,2560.5,5567,4544,5462,4334.5,4926,4289,3507
3918,3841,4089,3482,3555.5,2423.5,2830.5,2537,2279,2176,1942
1975.5,2770.5,3050,3215,2010,2255,2085.5,2100,1793,1761,1292.5
1035,1419.5,0,249,1817,1460.5,2364,1834,1632,1313,1843
7666.5,6955,8866,7607,6972.5,6091,5144,5939,6446,5488,5160
2575,2237.5,2994,3354.5,2054,1754,2400.5,1838,1529,1933,979.5
2927.5,889,0,387,4044.5,3015.5,2437,3429,3040,2101,1777.5
0,153.5,0,0,160,3277,103,2341,462,930,3432
1431,2078.5,2347,3149,1836,2043,1859,2325,1303,1534,1834.5
1757.5,4086.5,2155,0,3137.5,3017,2563.5,3349,2147,2238,876
2589,3454,3005,4112,2321,2649,2901.5,2500,2260,2356,1817
0,0,0,0,0,2698,0,3020,548,0,1080.5
3095,2563.5,2501,2599,2812.5,2219,2723,2047.5,2093,2465,1529
1518.5,2305.5,2191,2286,2356.5,2230,1587,2089,1453,1233,1601.5
4687.5,3620.5,4574,3341,3643,3898,3439,4108.5,2851,3313,3100.5
1375.5,1909.5,0,1907.5,2201.5,1929,1210,1700,1322,1108,1404
1119,0,0,0,1740,1397.5,3086,2357,1643.5,2940,953
3136,1910,2724,2851,2637.5,2698,2556,2850,1937.5,2116,1086.5
1659,2193,2303,2367,2095,2183,1541,1750.5,1496,1493,1694
3438,3850,840,739,3084,3184,2219,2713,2821,2643,2328
3095,3635,2950,912.5,2716,2887,2345.5,2789,2396.5,2663,2161
6151,3372.5,1348.5,1406.5,6005.5,4849.5,5463,5024,5250,4145,3634.5
2495.5,4839.5,2365,1150,3155,4108,2640,3881,2817,2326,1969
4650.5,3733.5,1424,624,3460.5,3302,3121.5,3508,2636,2774,2208.5
3679,3898,4163.5,3994.5,4841.5,2574,3226,2606,2356,2268,1450.5
3335,4184,1244,0,3366.5,2649,2957.5,3054,1872,2497,1260
3864.5,4515,4703.5,4664,2731,3131,2770,2852.5,2313,2066,1934
3253.5,3363,3898,3697.5,2990.5,2490,2831,2549.5,2102.5,2083,1553
2760.5,3519.5,3167,1274,2432,2818,2181,2725,2309,1937,1866.5
0,538.5,0,0,1198,2846.5,4169.5,3258,3892,2927,1647.5
4783,3777,1069,963.5,4415,3316,3219,3297,2848,2844,2622
5461.5,5735.5,5486.5,5555,5570,4038.5,5115.5,3782,4063.5,2986,2933
2470.5,3481.5,3039,1653,2178.5,2084,2442,2000,975,1704,294.5
1284,1363.5,401,655,1090.5,1375,1341,1456,1114,1222,798.5
2046,2267.5,2472,2504,1756.5,1978,1582.5,1822,1865,1648,2435
1012,348.5,0,0,424,2941,2664,1666.5,3545,2940,1010
