Colistin_0.8ugml,Gentamycin_0.8ugml,Gentamycin_4ugml,Gentamycin_8ugml,Imipenem_0.1ugml,LB_,LBBlood_5.,LBUrine_5.,ethanol_5.,pH_8,pH_9
2216.5,2970,2904,3166,1977.5,2400,2365.5,2629,1928,1618,1167
3512,3819.5,1631,779,2974,3149,3119,3072.5,2576,2424,2079.5
2450.5,3038,2758,3224,2039,2487,2314.5,2630,1909.5,2083,1579
1203,2349,1658,2967,815.5,830,1405.5,748,703.5,863,1563.5
3565.5,3487.5,2114,1080.5,2516,2824,3148,2201,2186.5,2185,1293
2687.5,2488.5,658,771.5,2492.5,2997,2915.5,2591,2031.5,3122,2159.5
3128.5,3222,3455,4005,2860,3453.5,2839.5,3186,2130,2399,1646.5
1314.5,2309,2290,850,2200,2638.5,2220.5,2510,2144.5,2086,2043
2375.5,2484,2536,2874,2234,2522,2321.5,2322,2030,1812,1621
4753.5,4494.5,3726,3507,4824.5,3314,3155,3291,3041,2484,2252
2917.5,3018.5,2781,2998,2995.5,2120,2436.5,1769,2201,2122,1752.5
3539,3510.5,5173.5,2504,3458,3472,2324.5,2587,2910,2436,1974.5
2852,3701.5,4986,4180.5,3308.5,2674,2116,2612.5,2627,2209,1942
2625,3140.5,3567,3684,2446.5,3031,2072.5,2563,1957,2424,1685.5
1886,3368,1467,1321,2836.5,3293,1586,3263,2268,2002,2151.5
3654,4149,4390,4213,3219.5,3476,3262.5,3106,2521,2759,1951.5
3950,3816,4638,3443,3979,4099.5,4613,4129,3873,3626,3130.5
1891,2719,1925,1325,1776,1927,2278.5,1988,1783.5,1782,1310
1511.5,1627.5,1691,1773,876,763.5,263.5,617,585,2131,1968
4318.5,3872,3698,4246,3329.5,2960,3115.5,2809,2595,2137,2283.5
3864,4292,4242,4067,3472,3345,3293,3256,2928,2464,2157
3071.5,3648,3821,4673,2669,3074,2724,2844,2228,2418,1938
5060,4798.5,6118,5480,4687,3599,4187,3302,3513,3466,2761
1888,2441.5,3612.5,2449,2158,2628,1890,2795,554.5,1409,773.5
2052.5,2733,2861,3628,2315.5,3011,2572,2897,1934,2093,1541
3294.5,4117,5566,4024,4214,3716,3788,3909.5,4160,3498,3157.5
1735.5,1636.5,2824,2445,1457.5,2016,1802,1551.5,816,1515,1107.5
2803.5,3690,4427.5,3961,2712,2267,2035,2373,2142,1850,1983
2788,3409.5,3523,3341,2526,2020,2179,2550.5,1816,2094,1640.5
408,257.5,0,0,2338,3333,3020.5,2702.5,3284,2575,2454
4659.5,4470,4377.5,4560,4013,3400,3288,3225,3253,2998,2531.5
1560.5,2000,1643,2018,1387.5,1876,2104,1539,1449.5,1668,1186.5
3871.5,4072.5,4132,2176,3682,3225,3774.5,3475,3117,2826,2214.5
3589.5,4030.5,4800.5,4360,3195,3386.5,3413.5,2902,2791,2691,2415.5
0,81,0,0,155,1576,159,1002,0,0,0
750.5,803,427,0,910,3010,950.5,3990,1107,2156,1415
3756,4322,4506,4499,3609,3121,3699,3162,2757,2632,2327
3079,3793,3700,3803,2638.5,3266,2953.5,2895,2363,2507,1880.5
264.5,339,255,0,2181,4253,2288.5,5065,1006,1894,3567
3459,3963.5,4095,3985,3118,3157.5,3152.5,2957,2583,2311,2072
4023,4502,4180,4413,3706.5,3427,3919.5,3365,3162,2742,2624
3958.5,4561,3914,4159,3397.5,3157,3359,3191,2817.5,2547,2397
5123,4585.5,5614.5,4843,4571,3862,3907,3334,4199,3391,2984.5
6123.5,5970.5,8590,6650.5,6409,6117,5392,6556,7019,4992,4561
3696,3507,1211,1370,2699,3644,2292,3455,2008,1880,1264.5
3491,3915,3785,3835,3266,3301,2982,3235,2545,2500,2142
2943,4067,3153,3444,2979,2716,2712,2835,2577,1910,2148
4285,4732.5,3764,4118.5,4730,3419,3398,2955,3011,2659,2570.5
4078,4086.5,3899,3656,4020.5,3252,2930,3120,2975,2449,2739
3576.5,4539,4241,4035,3445,3230.5,3390,3085.5,2927,2326,2600
3422.5,4203.5,2349,2120,2620,3116,2288,2619,2287,2722,1967
1938,2324.5,2901,2698,1933.5,2142.5,1982,2153,1865,1692,1787
4373,4441,4079.5,4436.5,3506,2955,3007,2630,2884.5,2670,2321.5
3274,3912,3589.5,3624,2913,3079,3015,3086,2464,2235,1875
2150.5,928,481,0,2376,3196,2776,2727,2363,2252,1834
3705.5,4047,4135,3889,2926,2959,2766,2806,2367,2120,1827
328,471,645.5,560,1031,1884,2219.5,2667,1265,2835,2035.5
1046,1716.5,489,1309,1066,1302,1105,827,998,715,218
